,Time,data
0,113.662,0.0
1,113.824,0.2292277812957764
2,113.971,0.4059948921203613
3,114.096,0.5463337898254395
4,114.251,0.7405786514282227
5,114.36200000000001,0.8800063133239746
6,114.537,1.0699899196624756
7,114.69,1.2628047466278076
8,114.905,1.57057523727417
9,115.105,1.8266499042510984
10,115.26700000000001,2.004889726638794
11,115.46700000000001,2.217470407485962
12,115.589,2.3598361015319824
13,115.709,2.4857337474823
14,115.82700000000001,2.624110221862793
15,115.988,2.8124754428863525
16,116.11,2.954705238342285
17,116.22399999999999,3.0791535377502437
18,116.38799999999999,3.266711711883545
19,116.52,3.4050800800323486
20,116.71,3.600239515304565
21,116.84899999999999,3.757226228713989
22,116.954,3.883284091949463
23,117.12100000000001,4.074882507324219
24,117.27799999999999,4.238697290420531
25,117.385,4.358980894088745
26,117.50399999999999,4.485565662384033
27,117.587,4.6090288162231445
28,117.785,4.846850395202637
29,117.883,4.9599769115448
30,118.005,5.109976053237915
31,118.155,5.290396928787232
32,118.277,5.416633605957031
33,118.42,5.587990760803223
34,118.537,5.713145017623901
35,118.693,5.8268489837646475
36,118.75200000000001,5.942994117736816
37,118.866,6.060917377471924
38,118.99,6.191852807998657
39,119.09700000000001,6.300283432006836
40,119.209,6.412184953689575
41,119.417,6.585030317306519
42,119.478,6.701047420501709
43,119.64299999999999,6.876174449920653
44,119.74700000000001,6.9927823543548575
45,119.853,7.1267571449279785
46,119.96799999999999,7.24799656867981
47,120.14200000000001,7.427340745925902
48,120.243,7.571311712265015
49,120.361,7.710412740707397
50,120.47,7.8228583335876465
51,120.579,7.938274145126343
52,120.68700000000001,8.053891181945799
53,120.789,8.172221183776855
54,120.902,8.291643857955933
55,121.053,8.446048736572267
56,121.18,8.584659099578857
57,121.295,8.713946104049683
58,121.413,8.841919660568239
59,121.51700000000001,8.953045129776003
60,121.63,9.075084447860716
61,121.795,9.21184539794922
62,121.86200000000001,9.324556589126589
63,121.964,9.441890954971312
64,122.086,9.56983757019043
65,122.19200000000001,9.694635152816774
66,122.296,9.804552793502806
67,122.415,9.92664623260498
68,122.537,10.04897689819336
69,122.65700000000001,10.181893348693848
70,122.773,10.297340869903564
71,122.87200000000001,10.406344175338743
72,122.994,10.53302001953125
73,123.096,10.665966272354128
74,123.214,10.789613246917725
75,123.333,10.913350820541382
76,123.499,11.089638233184814
77,123.637,11.233424425125122
78,123.74600000000001,11.34965181350708
79,123.851,11.46022081375122
80,123.95700000000001,11.573574542999268
81,124.12299999999999,11.752629280090332
82,124.22399999999999,11.870316982269287
83,124.34299999999999,11.986966609954836
84,124.439,12.103191137313845
85,124.535,12.215421676635742
86,124.641,12.328197717666626
87,124.758,12.444466352462769
88,124.88799999999999,12.57224154472351
89,124.975,12.693427085876465
90,125.095,12.814980506896973
91,125.205,12.92599868774414
92,125.3,13.063947200775145
93,125.431,13.217326641082765
94,125.54,13.338425636291506
95,125.64200000000001,13.45059847831726
96,125.77600000000001,13.59934687614441
97,125.85799999999999,13.709516286849976
98,125.979,13.830215215682983
99,126.087,13.956573009490967
100,126.18299999999999,14.08112335205078
101,126.309,14.230942249298096
102,126.434,14.353827238082886
103,126.542,14.478618144989015
104,126.64399999999999,14.598679065704346
105,126.76700000000001,14.745851755142212
106,126.865,14.856893062591553
107,126.96799999999999,14.971798181533813
108,127.072,15.087214469909668
109,127.18299999999999,15.20321249961853
110,127.3,15.332562446594238
111,127.415,15.452410221099855
112,127.523,15.587708950042725
113,127.646,15.720704793930054
114,127.774,15.851582765579224
115,127.87200000000001,15.965760231018065
116,127.98,16.087619304656982
117,128.085,16.20107364654541
118,128.194,16.315664768218994
119,128.30700000000002,16.439321517944336
120,128.496,16.638544082641598
121,128.641,16.802082300186154
122,128.738,16.913835287094116
123,128.842,17.041923761367798
124,128.96200000000002,17.166240453720093
125,129.059,17.279854774475098
126,129.165,17.38794255256653
127,129.27700000000002,17.516723155975342
128,129.406,17.679664134979244
129,129.519,17.827577114105228
130,129.671,17.99305272102356
131,129.774,18.129478931427
132,129.893,18.259282588958737
133,130.019,18.391021728515625
134,130.122,18.513343095779422
135,130.226,18.643825769424442
136,130.372,18.81431269645691
137,130.475,18.926707744598392
138,130.622,19.088592767715454
139,130.759,19.23419213294983
140,130.866,19.35630249977112
141,130.969,19.482473611831665
142,131.154,19.678796529769894
143,131.263,19.820719957351685
144,131.378,19.9349365234375
145,131.60299999999998,20.165732860565182
146,131.683,20.276657581329342
147,131.787,20.391804933547974
148,131.912,20.52018451690674
149,132.084,20.740464210510254
150,132.175,20.859405279159546
151,132.276,20.97765278816223
152,132.389,21.10477638244629
153,132.55,21.29440832138061
154,132.67600000000002,21.42325496673584
155,132.752,21.501000165939328
156,132.922,21.69718050956726
157,133.037,21.817963361740112
158,133.139,21.926458835601807
159,133.28799999999998,22.09694218635559
160,133.415,22.24345111846924
161,133.553,22.381020545959476
162,133.654,22.499881505966187
163,133.719,22.577436923980713
164,133.839,22.70323896408081
165,133.996,22.82018184661865
166,134.07399999999998,22.9400691986084
167,134.22799999999998,23.107527017593387
168,134.351,23.243874549865726
169,134.46,23.36478877067566
170,134.58100000000002,23.50092315673828
171,134.69899999999998,23.64776039123535
172,134.806,23.772507905960087
173,134.908,23.895315408706665
174,135.04399999999998,24.062808275222782
175,135.143,24.18448853492737
176,135.292,24.35000228881836
177,135.403,24.466431140899658
178,135.56,24.63098382949829
179,135.657,24.75527834892273
180,135.757,24.87071204185486
181,135.879,25.029958963394165
182,136.00799999999998,25.185072422027588
183,136.136,25.325210332870483
