Time,data
113.662,0.0
113.824,0.22922778129577637
113.971,0.40599489212036133
114.096,0.5463337898254395
114.251,0.7405786514282227
114.362,0.8800063133239746
114.537,1.0699899196624756
114.69,1.2628047466278076
114.905,1.57057523727417
115.105,1.8266499042510986
115.267,2.004889726638794
115.467,2.217470407485962
115.589,2.3598361015319824
115.709,2.4857337474823
115.827,2.624110221862793
115.988,2.8124754428863525
116.11,2.954705238342285
116.224,3.079153537750244
116.388,3.266711711883545
116.52,3.4050800800323486
116.71,3.6002395153045654
116.849,3.7572262287139893
116.954,3.883284091949463
117.121,4.074882507324219
117.278,4.238697290420532
117.385,4.358980894088745
117.504,4.485565662384033
117.587,4.6090288162231445
117.785,4.846850395202637
117.883,4.9599769115448
118.005,5.109976053237915
118.155,5.2903969287872314
118.277,5.416633605957031
118.42,5.587990760803223
118.537,5.713145017623901
118.693,5.826848983764648
118.752,5.942994117736816
118.866,6.060917377471924
118.99,6.191852807998657
119.097,6.300283432006836
119.209,6.412184953689575
119.417,6.5850303173065186
119.478,6.701047420501709
119.643,6.876174449920654
119.747,6.992782354354858
119.853,7.1267571449279785
119.968,7.24799656867981
120.142,7.427340745925903
120.243,7.571311712265015
120.361,7.7104127407073975
120.47,7.8228583335876465
120.579,7.938274145126343
120.687,8.0538911819458
120.789,8.172221183776855
120.902,8.291643857955933
121.053,8.446048736572266
121.18,8.584659099578857
121.295,8.713946104049683
121.413,8.841919660568237
121.517,8.953045129776001
121.63,9.075084447860718
121.795,9.211845397949219
121.862,9.324556589126587
121.964,9.441890954971313
122.086,9.56983757019043
122.192,9.694635152816772
122.296,9.804552793502808
122.415,9.92664623260498
122.537,10.04897689819336
122.657,10.181893348693848
122.773,10.297340869903564
122.872,10.406344175338745
122.994,10.53302001953125
123.096,10.665966272354126
123.214,10.789613246917725
123.333,10.913350820541382
123.499,11.089638233184814
123.637,11.233424425125122
123.746,11.34965181350708
123.851,11.46022081375122
123.957,11.573574542999268
124.123,11.752629280090332
124.224,11.870316982269287
124.343,11.986966609954834
124.439,12.103191137313843
124.535,12.215421676635742
124.641,12.328197717666626
124.758,12.444466352462769
124.888,12.57224154472351
124.975,12.693427085876465
125.095,12.814980506896973
125.205,12.92599868774414
125.3,13.063947200775146
125.431,13.217326641082764
125.54,13.338425636291504
125.642,13.45059847831726
125.776,13.59934687614441
125.858,13.709516286849976
125.979,13.830215215682983
126.087,13.956573009490967
126.183,14.081123352050781
126.309,14.230942249298096
126.434,14.353827238082886
126.542,14.478618144989014
126.644,14.598679065704346
126.767,14.745851755142212
126.865,14.856893062591553
126.968,14.971798181533813
127.072,15.087214469909668
127.183,15.20321249961853
127.3,15.332562446594238
127.415,15.452410221099854
127.523,15.587708950042725
127.646,15.720704793930054
127.774,15.851582765579224
127.872,15.965760231018066
127.98,16.087619304656982
128.085,16.20107364654541
128.194,16.315664768218994
128.307,16.439321517944336
128.496,16.6385440826416
128.641,16.802082300186157
128.738,16.913835287094116
128.842,17.041923761367798
128.962,17.166240453720093
129.059,17.279854774475098
129.165,17.38794255256653
129.277,17.516723155975342
129.406,17.679664134979248
129.519,17.827577114105225
129.671,17.99305272102356
129.774,18.129478931427002
129.893,18.25928258895874
130.019,18.391021728515625
130.122,18.51334309577942
130.226,18.64382576942444
130.372,18.81431269645691
130.475,18.92670774459839
130.622,19.088592767715454
130.759,19.23419213294983
130.866,19.356302499771118
130.969,19.482473611831665
131.154,19.678796529769897
131.263,19.820719957351685
131.378,19.9349365234375
131.603,20.165732860565186
131.683,20.276657581329346
131.787,20.391804933547974
131.912,20.52018451690674
132.084,20.740464210510254
132.175,20.859405279159546
132.276,20.97765278816223
132.389,21.10477638244629
132.55,21.294408321380615
132.676,21.42325496673584
132.752,21.50100016593933
132.922,21.69718050956726
133.037,21.817963361740112
133.139,21.926458835601807
133.288,22.09694218635559
133.415,22.24345111846924
133.553,22.381020545959473
133.654,22.499881505966187
133.719,22.577436923980713
133.839,22.70323896408081
133.996,22.820181846618652
134.074,22.9400691986084
134.228,23.107527017593384
134.351,23.243874549865723
134.46,23.36478877067566
134.581,23.50092315673828
134.699,23.64776039123535
134.806,23.772507905960083
134.908,23.895315408706665
135.044,24.06280827522278
135.143,24.184488534927368
135.292,24.35000228881836
135.403,24.466431140899658
135.56,24.63098382949829
135.657,24.75527834892273
135.757,24.87071204185486
135.879,25.029958963394165
136.008,25.185072422027588
136.136,25.325210332870483
136.299,25.50816059112549
136.427,25.664140701293945
136.53,25.779666900634766
136.635,25.906325340270996
136.786,26.054176807403564
136.904,26.197500467300415
137.02,26.31895399093628
137.133,26.44034695625305
137.249,26.56357717514038
137.345,26.69742774963379
137.441,26.815322160720825
137.569,26.951240301132202
137.714,27.066049575805664
137.841,27.17993187904358
137.905,27.2970929145813
138.038,27.44804310798645
138.15,27.563663959503174
138.293,27.718017101287842
138.426,27.848472356796265
138.526,27.97309422492981
138.669,28.144099235534668
138.789,28.275854349136353
138.854,28.34417462348938
139.011,28.514601945877075
139.14,28.653411865234375
139.267,28.803234815597534
139.372,28.919940948486328
139.476,29.027055740356445
139.634,29.17608404159546
139.756,29.33635401725769
139.887,29.474735736846924
140.012,29.61875557899475
140.173,29.747577905654907
140.252,29.873236179351807
140.377,29.99873685836792
140.489,30.14292597770691
140.604,30.266629457473755
140.711,30.40555715560913
140.831,30.538231372833252
141.027,30.696099758148193
141.093,30.83358335494995
141.206,30.956332683563232
141.396,31.11248016357422
141.449,31.249478340148926
141.567,31.371008157730103
141.704,31.48510456085205
141.795,31.62789011001587
